ID	Sex
HG01383	0
HG01384	1
HG01389	0
HG01390	1
HG01392	0
HG01393	1
HG01395	0
HG01396	1
HG01398	0
HG01402	0
HG01403	1
HG01405	0
HG01412	0
HG01413	0
HG01414	1
HG01431	0
HG01432	1
HG01435	1
HG01437	0
HG01438	1
HG01440	0
HG01441	1
HG01443	0
HG01444	1
HG01447	1
HG01455	0
HG01456	1
HG01459	1
HG01461	0
HG01462	1
HG01464	0
HG01465	1
HG01468	1
HG01474	1
HG01479	0
HG01485	0
HG01486	1
HG01488	0
HG01489	1
HG01491	0
HG01492	1
HG01494	0
HG01495	1
HG01497	0
HG01498	1
HG01500	0
HG01501	1
HG01503	0
HG01504	1
HG01506	0
HG01507	1
HG01509	0
HG01510	1
HG01512	0
HG01513	1
HG01515	0
HG01516	1
HG01518	0
HG01519	1
HG01521	0
HG01522	1
HG01524	0
HG01525	1
HG01527	0
HG01528	1
HG01530	0
HG01531	1
HG01536	0
HG01537	1
HG01550	0
HG01551	1
HG01556	0
HG01565	0
HG01566	1
HG01571	0
HG01572	1
HG01577	0
HG01578	1
HG01583	0
HG01586	0
HG01589	0
HG01593	1
HG01595	1
HG01596	0
HG01597	1
HG01598	1
HG01599	1
HG01600	1
HG01602	1
HG01603	0
HG01605	1
HG01606	0
HG01607	1
HG01608	0
HG01610	0
HG01612	1
HG01613	1
HG01615	0
HG01617	0
HG01618	1
HG01619	0
HG01620	1
HG01623	1
HG01624	0
HG01625	0
HG01626	1
HG01628	1
HG01630	0
HG01631	0
HG01632	1
HG01668	1
HG01669	0
HG01670	1
HG01672	0
HG01673	1
HG01675	0
HG01676	1
HG01678	0
HG01679	1
HG01680	0
HG01682	0
HG01684	1
HG01685	1
HG01686	0
HG01694	0
HG01695	1
HG01697	1
HG01699	0
HG01700	0
HG01702	1
HG01704	1
HG01705	0
HG01707	1
HG01708	0
HG01709	0
HG01710	1
HG01746	1
HG01747	0
HG01756	0
HG01757	1
HG01761	0
HG01762	1
HG01765	0
HG01766	1
HG01767	0
HG01768	1
HG01770	1
HG01771	0
HG01773	1
HG01775	0
HG01776	1
HG01777	0
HG01779	1
HG01781	0
HG01783	0
HG01784	1
HG01785	0
HG01786	1
HG01789	0
HG01790	1
HG01791	0
HG01794	1
HG01795	1
HG01796	1
HG01797	1
HG01798	1
HG01799	1
HG01800	1
HG01801	1
