ID	Sex
NA19042	1
NA19043	0
NA19054	1
NA19055	0
NA19056	0
NA19057	1
NA19058	0
NA19059	1
NA19060	0
NA19062	0
NA19063	0
NA19064	1
NA19065	1
NA19066	0
NA19067	0
NA19068	0
NA19070	0
NA19072	0
NA19074	1
NA19075	0
NA19076	0
NA19077	1
NA19078	1
NA19079	0
NA19080	1
NA19081	1
NA19082	0
NA19083	0
NA19084	1
NA19085	0
NA19086	0
NA19087	1
NA19088	0
NA19089	0
NA19090	1
NA19091	0
NA19092	0
NA19093	1
NA19095	1
NA19096	0
NA19098	0
NA19099	1
NA19102	1
NA19107	0
NA19108	1
NA19113	0
NA19114	1
NA19116	1
NA19117	0
NA19118	1
NA19119	0
NA19121	0
NA19129	1
NA19130	0
NA19131	1
NA19137	1
NA19138	0
NA19141	0
NA19143	1
NA19144	0
NA19146	0
NA19147	1
NA19149	1
NA19152	1
NA19153	0
NA19159	1
NA19160	0
NA19171	0
NA19172	1
NA19175	0
NA19184	0
NA19185	1
NA19189	0
NA19190	1
NA19197	1
NA19198	0
NA19200	0
NA19201	1
NA19204	1
NA19206	1
NA19207	0
NA19209	1
NA19210	0
NA19213	0
NA19214	1
NA19222	1
NA19223	0
NA19225	1
NA19235	1
NA19236	0
NA19238	1
NA19239	0
NA19247	1
NA19248	0
NA19256	0
NA19257	1
NA19307	0
NA19308	0
NA19309	0
NA19310	1
NA19312	0
NA19314	1
NA19315	1
NA19316	1
NA19317	0
NA19318	0
NA19319	0
NA19320	1
NA19321	1
NA19323	1
NA19324	1
NA19327	1
NA19328	1
NA19331	0
NA19332	1
NA19334	0
NA19338	1
NA19346	0
NA19347	0
NA19350	0
NA19351	1
NA19355	1
NA19360	0
NA19372	0
NA19374	0
NA19375	0
NA19376	0
NA19377	1
NA19378	1
NA19379	1
NA19380	0
NA19383	0
NA19384	0
NA19385	0
NA19390	1
NA19391	1
NA19393	0
NA19394	0
NA19395	1
NA19397	0
NA19399	1
NA19401	1
NA19403	1
NA19404	1
NA19428	0
NA19429	0
NA19430	0
NA19431	1
NA19434	1
NA19435	1
NA19436	1
NA19437	1
NA19438	1
NA19439	1
NA19440	1
NA19443	0
NA19445	1
NA19446	1
NA19448	0
NA19449	1
NA19451	0
NA19452	0
NA19454	0
NA19455	0
NA19456	1
NA19457	1
NA19461	0
NA19462	1
NA19463	1
NA19466	0
NA19467	1
NA19468	1
NA19471	1
NA19472	1
NA19473	1
NA19474	1
NA19475	1
NA19625	1
NA19648	1
NA19649	0
NA19651	1
NA19652	0
NA19654	1
NA19655	0
NA19657	1
NA19658	0
NA19661	0
NA19663	1
NA19664	0
NA19669	1
NA19670	0
NA19676	0
NA19678	1
NA19679	0
NA19681	1
NA19682	0
NA19684	1
NA19700	0
NA19701	1
NA19703	0
NA19704	1
NA19707	1
NA19711	0
NA19712	1
NA19713	1
NA19716	1
NA19717	0
NA19719	1
NA19720	0
NA19722	1
NA19723	0
NA19725	1
NA19726	0
NA19728	1
NA19729	0
NA19731	1
NA19732	0
NA19734	1
NA19735	0
NA19740	1
NA19741	0
NA19746	1
NA19747	0
NA19749	1
NA19750	0
NA19752	1
NA19755	1
NA19756	0
NA19758	1
NA19759	0
NA19761	1
NA19762	0
NA19764	1
NA19770	1
NA19771	0
NA19773	1
NA19774	0
NA19776	1
NA19777	0
NA19779	1
NA19780	0
NA19782	1
NA19783	0
NA19785	1
NA19786	0
NA19788	1
NA19789	0
NA19792	0
NA19794	1
NA19795	0
NA19818	0
NA19819	1
NA19834	0
NA19835	1
NA19900	0
NA19901	1
NA19904	0
NA19908	0
NA19909	1
NA19913	1
NA19914	1
NA19916	0
NA19917	1
NA19920	0
NA19921	1
NA19922	0
NA19923	1
NA19982	0
NA19984	0
NA20126	0
NA20127	1
NA20274	1
NA20276	1
NA20278	0
NA20281	0
NA20282	1
NA20287	1
NA20289	1
NA20291	0
NA20294	1
NA20296	1
NA20298	0
NA20299	1
NA20314	1
NA20317	1
NA20318	0
NA20320	1
NA20321	1
NA20332	1
NA20334	1
NA20339	1
NA20340	0
NA20342	0
NA20346	0
NA20348	0
NA20351	0
NA20355	1
NA20356	0
NA20357	1
NA20359	1
NA20362	0
NA20412	1
NA20502	1
NA20503	1
NA20504	1
NA20505	1
NA20506	1
NA20507	1
NA20508	1
NA20509	0
NA20510	0
NA20511	0
NA20512	0
NA20513	0
NA20514	1
NA20515	0
NA20516	0
NA20517	1
NA20518	0
NA20519	0
NA20520	0
NA20521	0
NA20522	1
NA20524	0
NA20525	0
NA20527	0
NA20528	0
NA20529	1
NA20530	1
NA20531	1
NA20532	0
NA20533	1
NA20534	0
NA20535	1
NA20536	0
NA20538	0
NA20539	0
NA20540	1
NA20541	1
NA20542	1
NA20543	0
NA20544	0
NA20581	0
NA20582	1
NA20585	1
NA20586	0
NA20587	1
NA20588	0
NA20589	1
NA20752	0
NA20753	1
NA20754	0
NA20755	0
NA20756	1
NA20757	1
NA20758	0
NA20759	0
NA20760	1
NA20761	1
NA20762	0
NA20763	0
NA20764	1
NA20765	0
NA20766	1
NA20767	0
NA20768	1
NA20769	1
NA20770	0
NA20771	1
NA20772	1
NA20773	1
NA20774	1
NA20775	1
NA20778	0
NA20783	0
NA20785	0
NA20786	1
NA20787	0
NA20790	1
NA20792	0
NA20795	1
NA20796	0
NA20797	1
NA20798	0
NA20799	1
NA20800	1
NA20801	0
NA20802	1
NA20803	0
NA20804	1
NA20805	0
NA20806	0
NA20807	1
NA20808	1
NA20809	0
NA20810	0
NA20811	0
NA20812	0
NA20813	1
NA20814	0
NA20815	0
NA20818	1
NA20819	1
NA20821	1
NA20822	1
NA20826	1
NA20827	0
NA20828	1
NA20832	1
NA20845	0
NA20846	0
NA20847	1
NA20849	1
NA20850	0
NA20851	1
NA20852	0
NA20853	1
NA20854	1
NA20856	1
NA20858	0
NA20859	1
NA20861	0
NA20862	1
NA20863	0
NA20864	0
NA20866	0
NA20867	0
NA20868	1
NA20869	1
NA20870	0
NA20872	1
NA20874	1
NA20875	1
NA20876	1
NA20877	1
NA20878	1
NA20881	1
NA20882	1
NA20884	0
NA20885	0
NA20886	1
NA20887	0
NA20888	1
NA20889	0
NA20890	0
NA20891	0
NA20892	1
NA20894	1
NA20895	0
NA20896	1
NA20897	0
NA20899	1
NA20900	1
NA20901	0
NA20902	1
NA20903	0
NA20904	0
NA20905	0
NA20906	1
NA20908	1
NA20910	1
NA20911	0
NA21086	1
NA21087	0
NA21088	1
NA21089	1
NA21090	0
NA21091	0
NA21092	0
NA21093	0
NA21094	0
NA21095	0
NA21097	1
NA21098	0
NA21099	0
NA21100	0
NA21101	1
NA21102	1
NA21103	1
NA21104	0
NA21105	0
NA21106	1
NA21107	0
NA21108	1
NA21109	0
NA21110	1
NA21111	0
NA21112	0
NA21113	0
NA21114	0
NA21115	0
NA21116	0
NA21117	0
NA21118	0
NA21119	0
NA21120	1
NA21122	1
NA21123	0
NA21124	0
NA21125	1
NA21126	0
NA21127	0
NA21128	0
NA21129	0
NA21130	0
NA21133	0
NA21135	0
NA21137	1
NA21141	1
NA21142	1
NA21143	1
NA21144	1
